,0,30,60,90,120,150,180,210,240,270,300,330
1,-48.54545455,-49.0,-50.01075269,-49.98701299,-50.0,-49.0,-48.04225352,-49.0,-49.0,-49.0,-48.0,-48.0
2,-48.0,-49.0,-50.0,-49.0,-49.0,-49.0,-48.0,-49.0,-49.0,-49.0,-49.0,-48.11224489999999
3,-48.0,-49.0,-50.06666667,-50.0,-50.0,-49.0,-48.83333333,-49.0,-49.82432432,-50.0,-50.0,-49.0
4,-50.0,-50.0,-51.0,-52.0,-52.01,-51.98947368,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0
5,-52.0,-52.0,-53.65384615,-54.08421053,-53.0,-52.0,-51.82666667,-52.0,-53.0,-53.92134831,-52.0,-51.05555556
6,-55.19090909,-55.0,-58.0,-58.96875,-56.93406593,-54.9875,-54.73863636,-55.0,-56.0,-57.0,-56.0,-55.96907216
7,-69.0,-69.0,,,,-69.0,-69.0,,,,-69.0,-69.0
8,-61.0,-62.17777778,-64.38823529,-64.0,-61.0,-59.0,-58.88,-61.0,-63.0,-62.05263158,-61.19277108,-60.92920354
9,-55.0,-56.0,-56.0,-56.0,-56.0,-55.0,-55.0,-55.0,-56.0,-56.0,-56.0,-55.0
10,-52.0,-53.0,-54.07368421,-54.98809524,-53.0,-52.46296296,-52.02798708,-54.0,-54.17977528,-54.0,-53.0,-52.0
11,-51.0,-51.0,-52.0,-52.0,-52.0,-52.0,-50.0,-50.0,-50.0,-52.0,-51.0,-51.0
12,-50.0,-50.0,-51.0,-51.0,-51.0,-49.0,-48.0,-49.0,-51.0,-51.0,-50.09859155,-49.0
13,-49.0,-49.0,-50.0,-50.0,-50.0,-48.0,-47.5,-48.0,-50.0,-50.0,-50.0,-49.0
14,-48.0,-48.0,-50.96052632,-50.0,-49.62195122,-48.0,-47.0,-48.0,-50.0,-50.0,-50.0,-49.0
15,-47.94186047,-48.0,-50.0,-50.0,-49.0,-48.0,-47.0,-48.0,-49.9875,-49.23611111,-49.0,-48.0
16,-48.25153374,-49.529761900000004,-51.02150538,-50.08695652,-50.0,-48.04402516,-48.98684211,-49.07100592,-49.96296296,-51.11111111,-49.05617978,-50.0
