,average,average 1m,std 1m,count 1m,average 2m,std 2m,count 2m,average 3m,std 3m,count 3m,average 6m,std 6m,count 6m,average 7m,std 7m,count 7m,average 8m,std 8m,count 8m
1,,-55.0,0.0,4.0,-56.0,0.0,4.0,-60.25,0.5,4.0,-59.0,0.0,4.0,-60.0,0.0,4.0,-65.0,0.0,4.0
2,,-55.0,0.0,4.0,-56.0,0.0,4.0,-60.0,0.0,4.0,-59.0,0.0,4.0,-60.0,0.0,4.0,-65.0,0.0,4.0
3,,-55.0,0.0,4.0,-56.0,0.0,4.0,-60.0,0.0,4.0,-59.5,0.5773502691896257,4.0,-60.0,0.0,4.0,-65.0,0.0,4.0
4,,-55.0,0.0,4.0,-56.0,0.0,4.0,-61.0,0.0,4.0,-60.0,0.0,4.0,-61.0,0.0,4.0,-65.25,0.5,4.0
5,,-57.0,0.0,4.0,-58.0,0.0,4.0,-63.0,0.0,4.0,-60.25,0.5,4.0,-62.0,0.0,4.0,-68.0,0.0,4.0
6,,-60.0,0.0,4.0,-62.0,0.0,4.0,-68.0,0.0,4.0,-62.0,0.0,4.0,-66.0,0.0,4.0,,,
9,,-58.0,0.0,4.0,-60.0,0.0,4.0,-67.0,0.0,4.0,,,,-68.0,0.0,4.0,,,
10,,-58.0,0.0,4.0,-58.0,0.0,4.0,-64.0,0.0,4.0,,,,-64.5,0.5773502691896257,4.0,,,
11,,-57.0,0.0,4.0,-57.0,0.0,4.0,-63.0,0.0,4.0,-66.0,0.0,4.0,-63.0,0.0,4.0,,,
12,,-56.0,0.0,4.0,-56.0,0.0,4.0,-62.0,0.0,4.0,-62.75,0.5,4.0,-62.0,0.0,4.0,-68.0,0.0,4.0
13,,-55.0,0.0,4.0,-56.0,0.0,4.0,-61.25,0.5,4.0,-61.0,0.0,4.0,-61.0,0.0,4.0,-67.0,0.0,4.0
14,,-55.0,0.0,4.0,-56.0,0.0,4.0,-61.0,0.0,4.0,-60.0,0.0,4.0,-61.0,0.0,4.0,-67.0,0.0,4.0
15,,-55.0,0.0,4.0,-55.75,0.5,4.0,-61.0,0.0,4.0,-60.0,0.0,4.0,-60.75,0.5,4.0,-66.25,0.5,4.0
16,,-55.0,0.0,4.0,-56.0,0.0,4.0,-66.0,0.0,4.0,-60.0,0.0,4.0,,,,-66.0,0.0,4.0
8,,,,,-67.75,0.5,4.0,,,,-65.0,0.0,4.0,,,,,,
7,,,,,,,,,,,-64.0,0.0,4.0,,,,,,
