,average,average 1m,std 1m,count 1m,average 2m,std 2m,count 2m,average 3m,std 3m,count 3m,average 4m,std 4m,count 4m,average 5m,std 5m,count 5m,average 6m,std 6m,count 6m,average 7m,std 7m,count 7m,average 8m,std 8m,count 8m
1,,-55.0,0.0,54.0,-56.0,0.0,96.0,-60.92391304347826,0.2665900112789532,92.0,-61.98850574712644,0.1072112534837795,87.0,,,,-59.43877551020408,0.4987887706680879,98.0,-60.0,0.0,66.0,-65.02325581395348,0.15159886590034527,86.0
2,,-55.0,0.0,78.0,-56.0,0.0,98.0,-60.0,0.0,100.0,-61.28048780487805,0.4520021371057977,82.0,-61.0,0.0,100.0,-59.0,0.0,100.0,-60.0,0.0,93.0,-65.0,0.0,96.0
3,,-55.0,0.0,53.0,-56.0,0.0,100.0,-60.01,0.10000000000000002,100.0,-61.0,0.0,73.0,-61.0,0.0,61.0,-59.54347826086956,0.5008354224706334,92.0,-60.0,0.0,94.0,-65.0,0.0,99.0
4,,-55.09722222222222,0.2983391690356928,72.0,-56.0,0.0,94.0,-61.0,0.0,91.0,-61.31460674157304,0.46699001395731465,89.0,-61.03,0.1714466079977653,100.0,-60.0,0.0,86.0,-61.0,0.0,82.0,-65.85714285714286,0.3518657752744984,91.0
5,,-57.0,0.0,83.0,-58.0,0.0,95.0,-63.0,0.0,100.0,-63.0,0.0,84.0,-63.0,0.0,100.0,-60.44,0.49888765156985887,100.0,-62.0,0.0,68.0,-68.0,0.0,76.0
6,,-60.0,0.0,99.0,-62.0,0.0,76.0,-68.15306122448979,0.3618976564426625,98.0,-67.97,0.17144660799776532,100.0,-67.0,0.0,100.0,-62.0,0.0,94.0,-66.0,0.0,91.0,,,
9,,-58.0,0.0,97.0,-60.03529411764706,0.18561729852738684,85.0,-67.0,0.0,91.0,-68.0,0.0,100.0,,,,,,,-68.0,0.0,98.0,,,
10,,-58.0,0.0,97.0,-58.0,0.0,87.0,-64.0,0.0,81.0,-65.0,0.0,100.0,-65.0,0.0,94.0,,,,-64.45,0.5,100.0,,,
11,,-57.0,0.0,100.0,-57.0,0.0,99.0,-63.0,0.0,86.0,-63.0,0.0,100.0,-63.16417910447761,0.37323381758230945,67.0,-65.96808510638297,0.17671602026643132,94.0,-63.0,0.0,91.0,,,
12,,-56.0,0.0,100.0,-56.0,0.0,100.0,-62.0,0.0,93.0,-62.0,0.0,91.0,-63.0,0.0,92.0,-62.93478260869565,0.249637418228338,46.0,-62.0,0.0,99.0,-68.0,0.0,56.0
13,,-55.22352941176471,0.41908263159052583,85.0,-56.0,0.0,98.0,-61.93258426966292,0.25216124030742915,89.0,-62.0,0.0,93.0,-62.0,0.0,62.0,-61.0,0.0,98.0,-61.0,0.0,88.0,-67.02,0.14070529413628968,100.0
14,,-55.0,0.0,98.0,-56.0,0.0,100.0,-61.0,0.0,77.0,-61.0,0.0,96.0,-62.0,0.0,100.0,-60.0,0.0,92.0,-61.0,0.0,91.0,-67.0,0.0,77.0
15,,-55.0,0.0,89.0,-55.98837209302326,0.10783277320343837,86.0,-61.0,0.0,90.0,-61.0,0.0,88.0,-61.37362637362637,0.4864463347893954,91.0,-60.0,0.0,97.0,-60.989010989010985,0.10482848367219183,91.0,-66.80645161290323,0.39722035599928207,93.0
16,,-55.0,0.0,100.0,-56.0,0.0,79.0,-66.0,0.0,83.0,-61.0,0.0,100.0,-62.0,0.0,100.0,-60.0,0.0,100.0,,,,-66.21,0.4093601807403323,100.0
8,,,,,-67.86,0.348735088019777,100.0,,,,,,,,,,-65.0,0.0,100.0,,,,,,
7,,,,,,,,,,,,,,,,,-64.0,0.0,100.0,,,,,,
